Comment,Designator,Footprint,LCSC
RB060M-60TR,D701,D_SOD-123,C114257
L_Core_Ferrite,"L1,L2,L702,L711",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C139247
1N4148,"D10,D100,D101,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D703,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_SOD-123,C14538
100k,R701,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504
TYPE-C-31-M12_13,J201,TYPE-C-31-M-12,C165948
100 1%,"R301,R703",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
10k,"R302,R303,R304,R305",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
4.7n,C714,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1744
1M 1%,R702,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17514
330k 1%,R711,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17629
330,"R306,R307,R308",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C17630
33,"R101,R102",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634
6.8uH,L701,Sumida0624CDMCC,C187221
TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal,J203,TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal,C262389
5.1k,"R705,R706",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
USBLC6-2SC6,U701,SOT-23-6,C2827654
DTC123J,Q701,SOT-23,C2910218
WS2811,"LED1,1,LED1,16",WS2811S,C3034986
1.5A Polyfuse,F701,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,C3107
100n,"C101,C102,C703,C707,C708,C709,C710,C711,C712,C719,C721,C723,C725,C727",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
WS2812B,"LED1,10,LED1,11,LED1,12,LED1,13,LED1,14,LED1,15,LED1,2,LED1,3,LED1,4,LED1,5,LED1,6,LED1,7,LED1,8,LED1,9,LED2,1,LED2,10,LED2,11,LED2,12,LED2,13,LED2,14,LED2,15,LED2,16,LED2,17,LED2,18,LED2,19,LED2,2,LED2,3,LED2,4,LED2,5,LED2,6,LED2,7,LED2,8,LED2,9,LED3,1,LED3,10,LED3,11,LED3,12,LED3,13,LED3,14,LED3,15,LED3,16,LED3,17,LED3,18,LED3,19,LED3,2,LED3,3,LED3,4,LED3,5,LED3,6,LED3,7,LED3,8,LED3,9,LED4,1,LED4,10,LED4,11,LED4,12,LED4,13,LED4,14,LED4,15,LED4,16,LED4,17,LED4,18,LED4,19,LED4,2,LED4,3,LED4,4,LED4,5,LED4,6,LED4,7,LED4,8,LED4,9,LED5,1,LED5,10,LED5,11,LED5,12,LED5,13,LED5,14,LED5,15,LED5,16,LED5,17,LED5,18,LED5,19,LED5,2,LED5,3,LED5,4,LED5,5,LED5,6,LED5,7,LED5,8,LED5,9,LED6,1,LED6,10,LED6,11,LED6,12,LED6,13,LED6,14,LED6,15,LED6,16,LED6,17,LED6,18,LED6,19,LED6,2,LED6,3,LED6,4,LED6,5,LED6,6,LED6,7,LED6,8,LED6,9,LED7,1,LED7,10,LED7,11,LED7,12,LED7,13,LED7,14,LED7,15,LED7,16,LED7,17,LED7,18,LED7,2,LED7,3,LED7,5,LED7,6,LED7,7,LED7,8,LED7,9",SK6812MINI_3535_6028_3.2x2.8mm_Round,C5149201
LQFP100,U501,STM32F072VBT6,C713240
AP63203WU-7,U702,TSOT-23-6_HandSoldering,C780769
22uF,"C701,C704,C705,C717",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C90146
10u,"C706,C715,C718,C720,C722,C724,C726",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C9807
MountingHole,HA201,ToolingHole_1.152mm_(for_JLCPCB_SMT),
MountingHole_Pad,H201,MountingHole_3.5mm_Pad_Via,
MountingHole,HA204,ToolingHole_1.152mm_(for_JLCPCB_SMT),
MountingHole,HA202,ToolingHole_1.152mm_(for_JLCPCB_SMT),
MountingHole,HA203,ToolingHole_1.152mm_(for_JLCPCB_SMT),
