Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.688,-63.089,0.0,bottom
C102,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,391.603,-49.627,180.0,bottom
C701,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.397,-59.025,0.0,bottom
C703,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.984,-72.741,270.0,bottom
C704,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,147.255,-69.526,180.0,bottom
C705,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,147.255,-67.026,180.0,bottom
C706,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,250.655,-100.155,90.0,bottom
C707,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,248.195,-100.745,90.0,bottom
C708,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.043,-103.2718,270.0,bottom
C709,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,227.9762,-85.5426,0.0,bottom
C710,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,242.378,-82.9518,0.0,bottom
C711,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,243.875,-66.325,270.0,bottom
C712,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.479,-100.525,90.0,bottom
C714,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.1892,-84.8568,180.0,bottom
C715,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,238.275,-68.675,180.0,bottom
C717,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,147.255,-71.926,180.0,bottom
C718,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,228.975,-37.415,0.0,bottom
C719,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.475,-39.875,0.0,bottom
C720,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,321.375,-74.975,180.0,bottom
C721,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,320.985,-77.215,180.0,bottom
C722,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,376.055,-142.955,0.0,bottom
C723,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,376.645,-145.415,0.0,bottom
C724,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,56.975,-85.275,90.0,bottom
C725,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.515,-85.865,90.0,bottom
C726,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,60.275,-132.975,90.0,bottom
C727,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.815,-133.565,90.0,bottom
D2,1N4148,D_SOD-123,37.908,-75.789,0.0,bottom
D3,1N4148,D_SOD-123,48.575,-104.775,0.0,bottom
D4,1N4148,D_SOD-123,40.067,-125.573,270.0,bottom
D5,1N4148,D_SOD-123,42.607,-144.369,270.0,bottom
D6,1N4148,D_SOD-123,37.781,-163.673,270.0,bottom
D7,1N4148,D_SOD-123,37.781,-182.723,270.0,bottom
D8,1N4148,D_SOD-123,64.07,-58.39,270.0,bottom
D9,1N4148,D_SOD-123,64.07,-77.44,270.0,bottom
D10,1N4148,D_SOD-123,54.545,-106.523,270.0,bottom
D11,1N4148,D_SOD-123,64.197,-125.573,270.0,bottom
D12,1N4148,D_SOD-123,69.023,-144.623,270.0,bottom
D13,1N4148,D_SOD-123,59.371,-163.673,270.0,bottom
D14,1N4148,D_SOD-123,61.657,-182.977,270.0,bottom
D15,1N4148,D_SOD-123,83.12,-58.39,270.0,bottom
D16,1N4148,D_SOD-123,83.12,-77.44,270.0,bottom
D17,1N4148,D_SOD-123,73.595,-106.523,270.0,bottom
D18,1N4148,D_SOD-123,83.247,-125.573,270.0,bottom
D19,1N4148,D_SOD-123,88.073,-144.623,270.0,bottom
D20,1N4148,D_SOD-123,78.421,-163.673,270.0,bottom
D21,1N4148,D_SOD-123,85.279,-182.977,270.0,bottom
D22,1N4148,D_SOD-123,102.17,-58.39,270.0,bottom
D23,1N4148,D_SOD-123,102.17,-77.44,270.0,bottom
D24,1N4148,D_SOD-123,92.645,-106.523,270.0,bottom
D25,1N4148,D_SOD-123,102.297,-125.573,270.0,bottom
D26,1N4148,D_SOD-123,107.123,-144.623,270.0,bottom
D27,1N4148,D_SOD-123,97.471,-163.673,270.0,bottom
D28,1N4148,D_SOD-123,121.22,-58.39,270.0,bottom
D29,1N4148,D_SOD-123,121.22,-77.44,270.0,bottom
D30,1N4148,D_SOD-123,111.695,-106.523,270.0,bottom
D31,1N4148,D_SOD-123,121.347,-125.573,270.0,bottom
D32,1N4148,D_SOD-123,126.173,-144.877,270.0,bottom
D33,1N4148,D_SOD-123,116.521,-163.673,270.0,bottom
D34,1N4148,D_SOD-123,154.875,-58.375,270.0,bottom
D35,1N4148,D_SOD-123,154.875,-77.44,270.0,bottom
D36,1N4148,D_SOD-123,130.745,-106.523,270.0,bottom
D37,1N4148,D_SOD-123,140.397,-125.573,270.0,bottom
D38,1N4148,D_SOD-123,145.223,-144.877,270.0,bottom
D39,1N4148,D_SOD-123,135.571,-163.673,270.0,bottom
D40,1N4148,D_SOD-123,109.275,-182.975,270.0,bottom
D41,1N4148,D_SOD-123,173.925,-58.39,270.0,bottom
D42,1N4148,D_SOD-123,173.925,-77.44,270.0,bottom
D43,1N4148,D_SOD-123,149.795,-106.523,270.0,bottom
D44,1N4148,D_SOD-123,159.447,-125.573,270.0,bottom
D45,1N4148,D_SOD-123,164.273,-144.877,270.0,bottom
D46,1N4148,D_SOD-123,154.621,-163.673,270.0,bottom
D47,1N4148,D_SOD-123,192.975,-58.39,270.0,bottom
D48,1N4148,D_SOD-123,192.975,-77.44,270.0,bottom
D49,1N4148,D_SOD-123,168.845,-106.523,270.0,bottom
D50,1N4148,D_SOD-123,178.497,-125.573,270.0,bottom
D51,1N4148,D_SOD-123,183.323,-144.877,270.0,bottom
D52,1N4148,D_SOD-123,173.671,-163.673,270.0,bottom
D53,1N4148,D_SOD-123,228.027,-182.723,270.0,bottom
D54,1N4148,D_SOD-123,212.025,-58.39,270.0,bottom
D55,1N4148,D_SOD-123,212.025,-77.44,270.0,bottom
D56,1N4148,D_SOD-123,187.895,-106.523,270.0,bottom
D57,1N4148,D_SOD-123,197.547,-125.573,270.0,bottom
D58,1N4148,D_SOD-123,202.373,-144.623,270.0,bottom
D59,1N4148,D_SOD-123,192.721,-163.673,270.0,bottom
D60,1N4148,D_SOD-123,251.903,-182.723,270.0,bottom
D61,1N4148,D_SOD-123,245.045,-58.39,270.0,bottom
D62,1N4148,D_SOD-123,245.045,-77.44,270.0,bottom
D63,1N4148,D_SOD-123,206.945,-106.523,270.0,bottom
D64,1N4148,D_SOD-123,216.597,-125.573,270.0,bottom
D65,1N4148,D_SOD-123,221.423,-144.623,270.0,bottom
D66,1N4148,D_SOD-123,211.771,-163.673,270.0,bottom
D67,1N4148,D_SOD-123,275.779,-182.723,270.0,bottom
D68,1N4148,D_SOD-123,264.095,-58.39,270.0,bottom
D69,1N4148,D_SOD-123,264.095,-77.44,270.0,bottom
D70,1N4148,D_SOD-123,224.3186,-108.301,270.0,bottom
D71,1N4148,D_SOD-123,235.647,-125.573,270.0,bottom
D72,1N4148,D_SOD-123,240.473,-144.623,270.0,bottom
D73,1N4148,D_SOD-123,230.821,-163.673,270.0,bottom
D74,1N4148,D_SOD-123,299.655,-182.723,270.0,bottom
D75,1N4148,D_SOD-123,283.145,-58.39,270.0,bottom
D76,1N4148,D_SOD-123,283.145,-77.44,270.0,bottom
D77,1N4148,D_SOD-123,243.1908,-109.4694,270.0,bottom
D78,1N4148,D_SOD-123,254.697,-125.573,270.0,bottom
D79,1N4148,D_SOD-123,259.523,-144.623,270.0,bottom
D80,1N4148,D_SOD-123,278.573,-153.767,90.0,bottom
D81,1N4148,D_SOD-123,249.875,-172.115,90.0,bottom
D82,1N4148,D_SOD-123,302.195,-58.39,270.0,bottom
D83,1N4148,D_SOD-123,302.195,-77.44,270.0,bottom
D84,1N4148,D_SOD-123,262.2408,-108.8852,270.0,bottom
D85,1N4148,D_SOD-123,298.15,-104.105,0.0,bottom
D86,1N4148,D_SOD-123,273.747,-133.955,90.0,bottom
D87,1N4148,D_SOD-123,294.915,-153.875,90.0,bottom
D88,1N4148,D_SOD-123,275.895,-173.005,90.0,bottom
D89,1N4148,D_SOD-123,326.071,-39.721,270.0,bottom
D90,1N4148,D_SOD-123,326.071,-58.771,270.0,bottom
D91,1N4148,D_SOD-123,326.071,-77.821,270.0,bottom
D92,1N4148,D_SOD-123,326.071,-106.523,270.0,bottom
D93,1N4148,D_SOD-123,326.071,-125.319,270.0,bottom
D94,1N4148,D_SOD-123,326.071,-182.469,270.0,bottom
D95,1N4148,D_SOD-123,345.121,-39.721,270.0,bottom
D96,1N4148,D_SOD-123,345.121,-58.771,270.0,bottom
D97,1N4148,D_SOD-123,345.121,-77.821,270.0,bottom
D98,1N4148,D_SOD-123,345.121,-106.523,270.0,bottom
D99,1N4148,D_SOD-123,345.121,-125.319,270.0,bottom
D100,1N4148,D_SOD-123,345.121,-163.673,270.0,bottom
D101,1N4148,D_SOD-123,345.121,-182.469,270.0,bottom
D103,1N4148,D_SOD-123,364.171,-58.771,270.0,bottom
D104,1N4148,D_SOD-123,364.171,-77.821,270.0,bottom
D105,1N4148,D_SOD-123,364.171,-106.523,270.0,bottom
D106,1N4148,D_SOD-123,364.171,-125.319,270.0,bottom
D107,1N4148,D_SOD-123,364.171,-182.469,270.0,bottom
D108,1N4148,D_SOD-123,445.175,-106.675,270.0,bottom
D109,1N4148,D_SOD-123,386.3198,-109.571,270.0,bottom
D110,1N4148,D_SOD-123,388.047,-125.573,270.0,bottom
D111,1N4148,D_SOD-123,388.047,-144.623,270.0,bottom
D112,1N4148,D_SOD-123,388.047,-163.927,270.0,bottom
D113,1N4148,D_SOD-123,388.375,-182.475,270.0,bottom
D114,1N4148,D_SOD-123,459.167,-124.049,0.0,bottom
D115,1N4148,D_SOD-123,405.3698,-108.7836,270.0,bottom
D116,1N4148,D_SOD-123,407.097,-125.573,270.0,bottom
D117,1N4148,D_SOD-123,407.097,-144.623,270.0,bottom
D118,1N4148,D_SOD-123,407.097,-163.927,270.0,bottom
D119,1N4148,D_SOD-123,426.147,-182.469,270.0,bottom
D120,1N4148,D_SOD-123,455.865,-160.625,270.0,bottom
D121,1N4148,D_SOD-123,424.2674,-108.7836,270.0,bottom
D122,1N4148,D_SOD-123,426.147,-125.573,270.0,bottom
D123,1N4148,D_SOD-123,426.147,-144.623,270.0,bottom
D124,1N4148,D_SOD-123,426.147,-163.927,270.0,bottom
D125,1N4148,D_SOD-123,135.375,-181.475,270.0,bottom
D126,1N4148,D_SOD-123,156.625,-181.425,270.0,bottom
D127,1N4148,D_SOD-123,192.525,-181.425,270.0,bottom
D128,1N4148,D_SOD-123,326.06525,-163.6845,270.0,bottom
D129,1N4148,D_SOD-123,364.16525,-163.6595,270.0,bottom
D701,RB060M-60TR,D_SOD-123,140.143,-54.453,0.0,bottom
D703,1N4148,D_SOD-123,237.575,-66.275,180.0,bottom
F701,1.5A Polyfuse,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,142.937,-49.881,90.0,bottom
H201,MountingHole_Pad,MountingHole_3.5mm_Pad_Via,329.775,-150.675,0.0,top
HA201,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),35.475,-36.475,0.0,top
HA202,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),35.475,-198.975,0.0,top
HA203,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),462.975,-36.475,0.0,top
HA204,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),462.975,-198.975,0.0,top
J201,TYPE-C-31-M12_13,TYPE-C-31-M-12,145.985,-30.45,180.0,bottom
J203,TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal,TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal,268.765,-99.305,180.0,bottom
L1,L_Core_Ferrite,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.815,-53.437,0.0,bottom
L2,L_Core_Ferrite,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,377.379,-38.705,0.0,bottom
L701,6.8uH,Sumida0624CDMCC,142.683,-78.329,270.0,bottom
L702,L_Core_Ferrite,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,152.462,-34.6918,270.0,bottom
L711,L_Core_Ferrite,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,337.5815,-154.2505,270.0,bottom
"LED1,1",WS2811,WS2811S,56.746,-58.079,180.0,bottom
"LED1,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,72.325,-70.455,180.0,bottom
"LED1,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,91.375,-70.455,180.0,bottom
"LED1,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,110.425,-70.455,180.0,bottom
"LED1,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,129.475,-70.455,180.0,bottom
"LED1,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,162.9655,-70.5675,180.0,bottom
"LED1,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,182.0155,-70.5675,180.0,bottom
"LED1,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,201.0655,-70.5675,180.0,bottom
"LED1,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,220.1155,-70.5675,180.0,bottom
"LED1,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,253.2625,-70.4405,180.0,bottom
"LED1,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,272.3125,-70.4405,180.0,bottom
"LED1,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,291.3625,-70.4405,180.0,bottom
"LED1,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,310.4125,-70.4405,180.0,bottom
"LED1,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.2885,-51.3905,180.0,bottom
"LED1,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.3385,-51.3905,180.0,bottom
"LED1,16",WS2811,WS2811S,385.126,-46.96,180.0,bottom
"LED2,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,43.575,-90.125,0.0,bottom
"LED2,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,72.2875,-89.4905,0.0,bottom
"LED2,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,91.3375,-89.4905,0.0,bottom
"LED2,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,110.3875,-89.4905,0.0,bottom
"LED2,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,129.4375,-89.4905,0.0,bottom
"LED2,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,162.875,-89.725,0.0,bottom
"LED2,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,181.925,-89.725,0.0,bottom
"LED2,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,200.975,-89.725,0.0,bottom
"LED2,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,220.125,-89.725,0.0,bottom
"LED2,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,253.2625,-89.4905,0.0,bottom
"LED2,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,272.3125,-89.4905,0.0,bottom
"LED2,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,291.3625,-89.4905,0.0,bottom
"LED2,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,310.4125,-89.4905,0.0,bottom
"LED2,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.2885,-70.4405,0.0,bottom
"LED2,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.3385,-70.4405,0.0,bottom
"LED2,16",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,372.3885,-70.4405,0.0,bottom
"LED2,17",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,453.2875,-118.0655,180.0,bottom
"LED2,18",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,448.065,-141.905,90.0,bottom
"LED2,19",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,447.905,-179.905,270.0,bottom
"LED3,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,43.7125,-118.08,180.0,bottom
"LED3,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,62.7625,-118.08,180.0,bottom
"LED3,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,81.8125,-118.08,180.0,bottom
"LED3,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,100.8625,-118.08,180.0,bottom
"LED3,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,119.9125,-118.0655,180.0,bottom
"LED3,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,138.9625,-118.0655,180.0,bottom
