Designator,Mid X,Mid Y,Layer,Rotation
C101,55.688000,-63.089000,bottom,180.000000
C102,391.603000,-49.627000,bottom,0.000000
C701,140.397000,-59.025000,bottom,180.000000
C703,137.984000,-72.741000,bottom,-90.000000
C704,147.255000,-69.526000,bottom,0.000000
C705,147.255000,-67.026000,bottom,0.000000
C706,250.655000,-100.155000,bottom,90.000000
C707,248.195000,-100.745000,bottom,90.000000
C708,229.043000,-103.271800,bottom,-90.000000
C709,227.976200,-85.542600,bottom,180.000000
C710,242.378000,-82.951800,bottom,180.000000
C711,243.875000,-66.325000,bottom,-90.000000
C712,61.479000,-100.525000,bottom,90.000000
C714,154.189200,-84.856800,bottom,0.000000
C715,238.275000,-68.675000,bottom,0.000000
C717,147.255000,-71.926000,bottom,0.000000
C718,228.975000,-37.415000,bottom,180.000000
C719,229.475000,-39.875000,bottom,180.000000
C720,321.375000,-74.975000,bottom,0.000000
C721,320.985000,-77.215000,bottom,0.000000
C722,376.055000,-142.955000,bottom,180.000000
C723,376.645000,-145.415000,bottom,180.000000
C724,56.975000,-85.275000,bottom,90.000000
C725,54.515000,-85.865000,bottom,90.000000
C726,60.275000,-132.975000,bottom,90.000000
C727,57.815000,-133.565000,bottom,90.000000
D10,54.545000,-106.523000,bottom,-90.000000
D100,345.121000,-163.673000,bottom,-90.000000
D101,345.121000,-182.469000,bottom,-90.000000
D103,364.171000,-58.771000,bottom,-90.000000
D104,364.171000,-77.821000,bottom,-90.000000
D105,364.171000,-106.523000,bottom,-90.000000
D106,364.171000,-125.319000,bottom,-90.000000
D107,364.171000,-182.469000,bottom,-90.000000
D108,445.175000,-106.675000,bottom,-90.000000
D109,386.319800,-109.571000,bottom,-90.000000
D11,64.197000,-125.573000,bottom,-90.000000
D110,388.047000,-125.573000,bottom,-90.000000
D111,388.047000,-144.623000,bottom,-90.000000
D112,388.047000,-163.927000,bottom,-90.000000
D113,388.375000,-182.475000,bottom,-90.000000
D114,459.167000,-124.049000,bottom,180.000000
