"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"LED3,11,LED3,2,LED7,5,LED2,10,LED3,6,LED2,8,LED7,2,LED1,7,LED1,2,LED4,8,LED5,11,LED1,6,LED7,7,LED4,5,LED3,7,LED7,6,LED5,14,LED6,9,LED1,10,LED5,9,LED3,17,LED5,2,LED2,14,LED1,5,LED3,16,LED3,15,LED4,11,LED2,9,LED4,14,LED3,8,LED2,4,LED7,1,LED4,18,LED3,10,LED4,4,LED1,11,LED4,1,LED2,19,LED1,4,LED3,18,LED5,1,LED3,4,LED4,6,LED4,15,LED6,8,LED5,7,LED6,18,LED6,15,LED4,2,LED7,15,LED6,12,LED6,3,LED4,10,LED5,15,LED4,13,LED4,12,LED4,16,LED7,3,LED2,18,LED5,10,LED7,18,LED7,16,LED1,9,LED4,19,LED2,17,LED7,17,LED6,19,LED5,8,LED3,19,LED7,13,LED5,19,LED2,11,LED6,4,LED5,13,LED5,16,LED6,16,LED5,12,LED6,6,LED2,16,LED6,2,LED1,12,LED6,1,LED7,9,LED5,3,LED2,7,LED3,1,LED6,17,LED6,14,LED2,13,LED4,3,LED2,5,LED3,12,LED6,13,LED7,14,LED2,1,LED1,13,LED1,3,LED3,5,LED7,12,LED4,17,LED3,14,LED5,4,LED7,8,LED5,5,LED4,9,LED2,3,LED7,10,LED4,7,LED5,17,LED2,12,LED3,13,LED6,10,LED6,5,LED2,6,LED6,11,LED1,15,LED7,11,LED3,3,LED5,6,LED1,14,LED1,8,LED6,7,LED2,15,LED3,9,LED5,18,LED2,2";"SK6812MINI_3535_6028_3.2x2.8mm_Round";126;"WS2812B";;;
2;"LED202,LED203,LED201";"LED_THT_2.54mm";3;"LED";;;
3;"SW1,16,SW1,1";"RotaryEncoder_Switch_RGB";2;"RotaryEncoder_x15141-Switch_RGB";;;
4;"HA201,HA204,HA202,HA203";"ToolingHole_1.152mm_(for_JLCPCB_SMT)";4;"MountingHole";;;
5;"RV204,RV206,RV205";"Potentiometer_Bourns_PTA6043_Single_Slide";3;"Potentiometer_Bourns_PTA6043_Single_Slide";;;
6;"H201";"MountingHole_3.5mm_Pad_Via";1;"MountingHole_Pad";;;
7;"SW202,SW201";"SW_PUSH_6mm_H5mm";2;"SW_Push";;;
8;"J202";"Conn_ARM_JTAG_SWD_10";1;"Conn_01x14";;;
9;"D43,D68,D105,D30,D83,D6,D35,D77,D10,D48,D103,D62,D93,D4,D63,D120,D9,D33,D31,D60,D91,D44,D110,D38,D84,D25,D53,D17,D51,D45,D59,D36,D119,D58,D47,D23,D111,D69,D126,D124,D2,D116,D99,D100,D125,D66,D19,D37,D80,D90,D61,D115,D32,D24,D28,D128,D75,D7,D113,D114,D64,D79,D107,D122,D94,D81,D74,D8,D5,D88,D21,D117,D26,D73,D82,D40,D98,D46,D56,D15,D41,D97,D67,D18,D87,D101,D112,D121,D96,D22,D78,D14,D57,D95,D13,D108,D54,D49,D16,D109,D118,D34,D106,D12,D39,D123,D76,D27,D703,D42,D71,D129,D104,D11,D89,D55,D85,D65,D92,D72,D70,D127,D52,D50,D3,D29,D20,D86";"D_SOD-123";128;"1N4148";;;
10;"SW5,7,SW5,13,SW6,6,SW2,11,SW6,17,SW6,15,SW3,8,SW3,6,SW5,15,SW1,4,SW1,10,SW1,12,SW2,5,SW5,19,SW1,14,SW3,7,SW4,14,SW4,5,SW6,2,SW4,12,SW7,4,SW5,5,SW4,8,SW6,7,SW7,12,SW1,13,SW3,16,SW2,12,SW2,2,SW4,11,SW6,12,SW6,14,SW5,6,SW5,11,SW6,18,SW1,9,SW2,3,SW3,18,SW3,5,SW4,9,SW1,7,SW4,4,SW2,10,SW3,19,SW1,6,SW3,15,SW3,11,SW7,7,SW5,3,SW5,17,SW3,10,SW1,2,SW6,11,SW2,1,SW7,5,SW6,10,SW5,8,SW3,17,SW2,8,SW4,7,SW4,6,SW4,18,SW5,10,SW1,11,SW4,15,SW2,16,SW2,14,SW4,10,SW5,18,SW2,9,SW2,17,SW3,13,SW2,13,SW2,7,SW4,2,SW3,1,SW6,9,SW3,2,SW7,16,SW6,16,SW6,5,SW2,6,SW2,4,SW4,17,SW3,12,SW3,3,SW4,3,SW7,14,SW5,12,SW6,19,SW1,5,SW1,3,SW4,16,SW6,3,SW6,8,SW5,2,SW4,19,SW5,4,SW5,16,SW1,8,SW5,9,SW7,18,SW3,14,SW7,15,SW3,9,SW6,4,SW5,14,SW2,15,SW3,4,SW1,15";"MX100H";110;"MXSwitch";;;
11;"R305,R302,R303,R304";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
12;"F701";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"1.5A Polyfuse";;;
13;"C707,C708,C725,C712,C102,C710,C727,C719,C101,C709,C723,C703,C721";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";13;"100n";;;
14;"LED1,16,LED1,1";"WS2811S";2;"WS2811";;;
15;"SW2,18,SW4,13,SW7,17";"MX200H";3;"MXSwitch";;;
16;"C715,C724,C726,C706,C722,C720,C718";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";7;"10u";;;
17;"SW7,9,SW7,2,SW6,1,SW7,3,SW7,10,SW7,1,SW7,11,SW7,8";"MX125H";8;"MXSwitch";;;
18;"U502";"SOT-23-6_Handsoldering";1;"SN74LVC1T45DCK";;;
19;"J201";"TYPE-C-31-M-12";1;"TYPE-C-31-M12_13";;;
20;"L1,L2,L702,L711";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"L_Core_Ferrite";;;
21;"R701";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
22;"SW2,19";"MX200HR";1;"2,19";;;
23;"JMP6,16,JMP6,14";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";2;"JumpLED_6,15";;;
24;"U701";"SOT-23-6";1;"USBLC6-2SC6";;;
25;"U501";"STM32F072VBT6";1;"LQFP100";;;
26;"C717,C705,C701,C704";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"22uF";;;
27;"LOGO201";"OSHW-Logo_11.4x12mm_SilkScreen";1;"Logo_Open_Hardware_Large";;;
28;"SW5,1";"MX175H";1;"MXSwitch";;;
29;"L701";"Sumida0624CDMCC";1;"6.8uH";;;
30;"U702";"TSOT-23-6_HandSoldering";1;"AP63203WU-7";;;
31;"SW7,6";"MX625H";1;"MXSwitch";;;
32;"Q701";"SOT-23";1;"DTC123J";;;
33;"SW4,1";"MX150H";1;"MXSwitch";;;
34;"R706,R705";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
35;"R711";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330k 1%";;;
36;"SW6,13";"MX_ISOEnterH";1;"MXSwitch";;;
37;"R306,R307,R308";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"330";;;
38;"C714";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7n";;;
39;"J203";"TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal";1;"TE_2-84953-0_1x20-1MP_P1.0mm_Horizontal";;;
40;"R301,R703";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100 1%";;;
41;"R102,R101";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"33";;;
42;"R702";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M 1%";;;
43;"D701";"D_SOD-123";1;"RB060M-60TR";;;
44;"SW7,13";"MX275H";1;"MXSwitch";;;
45;"C711";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
