Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-55.688000,-63.089000,180.000000,bottom
C102,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-391.603000,-49.627000,0.000000,bottom
C701,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-140.397000,-59.025000,180.000000,bottom
C703,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-137.984000,-72.741000,-90.000000,bottom
C704,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-147.255000,-69.526000,0.000000,bottom
C705,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-147.255000,-67.026000,0.000000,bottom
C706,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-250.655000,-100.155000,90.000000,bottom
C707,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-248.195000,-100.745000,90.000000,bottom
C708,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-229.043000,-103.271800,-90.000000,bottom
C709,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-227.976200,-85.542600,180.000000,bottom
C710,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-242.378000,-82.951800,180.000000,bottom
C711,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-243.875000,-66.325000,-90.000000,bottom
C712,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-61.479000,-100.525000,90.000000,bottom
C714,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-154.189200,-84.856800,0.000000,bottom
C715,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-238.275000,-68.675000,0.000000,bottom
C717,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-147.255000,-71.926000,0.000000,bottom
C718,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-228.975000,-37.415000,180.000000,bottom
C719,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-229.475000,-39.875000,180.000000,bottom
C720,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-321.375000,-74.975000,0.000000,bottom
C721,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-320.985000,-77.215000,0.000000,bottom
C722,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-376.055000,-142.955000,180.000000,bottom
C723,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-376.645000,-145.415000,180.000000,bottom
C724,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-56.975000,-85.275000,90.000000,bottom
C725,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-54.515000,-85.865000,90.000000,bottom
C726,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-60.275000,-132.975000,90.000000,bottom
C727,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-57.815000,-133.565000,90.000000,bottom
