Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
HA201,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),35.475000,-36.475000,0.000000,top
HA202,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),35.475000,-198.975000,0.000000,top
HA203,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),462.975000,-36.475000,0.000000,top
HA204,MountingHole,ToolingHole_1.152mm_(for_JLCPCB_SMT),462.975000,-198.975000,0.000000,top
"LED1,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,72.325000,-70.455000,0.000000,top
"LED1,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,91.375000,-70.455000,0.000000,top
"LED1,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,110.425000,-70.455000,0.000000,top
"LED1,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,129.475000,-70.455000,0.000000,top
"LED1,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,162.965500,-70.567500,0.000000,top
"LED1,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,182.015500,-70.567500,0.000000,top
"LED1,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,201.065500,-70.567500,0.000000,top
"LED1,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,220.115500,-70.567500,0.000000,top
"LED1,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,253.262500,-70.440500,0.000000,top
"LED1,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,272.312500,-70.440500,0.000000,top
"LED1,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,291.362500,-70.440500,0.000000,top
"LED1,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,310.412500,-70.440500,0.000000,top
"LED1,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.288500,-51.390500,0.000000,top
"LED1,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.338500,-51.390500,0.000000,top
"LED2,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,43.575000,-90.125000,180.000000,top
"LED2,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,72.287500,-89.490500,180.000000,top
"LED2,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,91.337500,-89.490500,180.000000,top
"LED2,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,110.387500,-89.490500,180.000000,top
"LED2,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,129.437500,-89.490500,180.000000,top
"LED2,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,162.875000,-89.725000,180.000000,top
"LED2,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,181.925000,-89.725000,180.000000,top
"LED2,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,200.975000,-89.725000,180.000000,top
"LED2,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,220.125000,-89.725000,180.000000,top
"LED2,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,253.262500,-89.490500,180.000000,top
"LED2,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,272.312500,-89.490500,180.000000,top
"LED2,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,291.362500,-89.490500,180.000000,top
"LED2,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,310.412500,-89.490500,180.000000,top
"LED2,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.288500,-70.440500,180.000000,top
"LED2,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.338500,-70.440500,180.000000,top
"LED2,16",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,372.388500,-70.440500,180.000000,top
"LED2,17",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,453.287500,-118.065500,0.000000,top
"LED2,18",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,448.065000,-141.905000,90.000000,top
"LED2,19",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,447.905000,-179.905000,-90.000000,top
"LED3,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,43.712500,-118.080000,0.000000,top
"LED3,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,62.762500,-118.080000,0.000000,top
"LED3,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,81.812500,-118.080000,0.000000,top
"LED3,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,100.862500,-118.080000,0.000000,top
"LED3,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,119.912500,-118.065500,0.000000,top
"LED3,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,138.962500,-118.065500,0.000000,top
"LED3,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,158.012500,-118.065500,0.000000,top
"LED3,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,177.062500,-118.065500,0.000000,top
"LED3,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,196.112500,-118.065500,0.000000,top
"LED3,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,215.162500,-118.065500,0.000000,top
"LED3,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,234.212500,-118.065500,0.000000,top
"LED3,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,253.262500,-118.065500,0.000000,top
"LED3,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,272.350000,-118.080000,0.000000,top
"LED3,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.288500,-89.490500,0.000000,top
"LED3,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.338500,-89.490500,0.000000,top
"LED3,16",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,372.388500,-89.490500,0.000000,top
"LED3,17",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,396.137500,-118.065500,0.000000,top
"LED3,18",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,415.187500,-118.065500,0.000000,top
"LED3,19",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,434.237500,-118.065500,0.000000,top
"LED4,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,48.538500,-137.115500,180.000000,top
"LED4,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,72.287500,-137.115500,180.000000,top
"LED4,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,91.337500,-137.115500,180.000000,top
"LED4,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,110.387500,-137.115500,180.000000,top
"LED4,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,129.437500,-137.115500,180.000000,top
"LED4,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,148.487500,-137.115500,180.000000,top
"LED4,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,167.537500,-137.115500,180.000000,top
"LED4,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,186.587500,-137.115500,180.000000,top
"LED4,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,205.637500,-137.115500,180.000000,top
"LED4,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,224.687500,-137.115500,180.000000,top
"LED4,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,243.737500,-137.115500,180.000000,top
"LED4,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,262.787500,-137.115500,180.000000,top
"LED4,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,300.887500,-118.065500,180.000000,top
"LED4,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.288500,-118.192500,180.000000,top
"LED4,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.338500,-118.192500,180.000000,top
"LED4,16",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,372.388500,-118.192500,180.000000,top
"LED4,17",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,396.137500,-137.242500,180.000000,top
"LED4,18",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,415.187500,-137.242500,180.000000,top
"LED4,19",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,434.237500,-137.242500,180.000000,top
"LED5,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,50.824500,-156.165500,0.000000,top
"LED5,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,77.113500,-156.165500,0.000000,top
"LED5,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,96.163500,-156.165500,0.000000,top
"LED5,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,115.213500,-156.165500,0.000000,top
"LED5,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,134.136500,-156.165500,0.000000,top
"LED5,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,153.186500,-156.165500,0.000000,top
"LED5,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,172.236500,-156.165500,0.000000,top
"LED5,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,191.286500,-156.165500,0.000000,top
"LED5,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,210.463500,-156.165500,0.000000,top
"LED5,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,229.513500,-156.165500,0.000000,top
"LED5,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,248.563500,-156.165500,0.000000,top
"LED5,12",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,267.613500,-156.165500,0.000000,top
"LED5,13",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,281.825000,-137.025000,0.000000,top
"LED5,14",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,334.288500,-137.115500,0.000000,top
"LED5,15",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,353.338500,-137.115500,0.000000,top
"LED5,16",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,372.388500,-137.115500,0.000000,top
"LED5,17",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,396.137500,-156.292500,0.000000,top
"LED5,18",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,415.187500,-156.292500,0.000000,top
"LED5,19",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,434.237500,-156.292500,0.000000,top
"LED6,1",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,46.125500,-175.215500,180.000000,top
"LED6,2",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,67.588500,-175.215500,180.000000,top
"LED6,3",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,86.638500,-175.215500,180.000000,top
"LED6,4",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,105.688500,-175.215500,180.000000,top
"LED6,5",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,124.611500,-175.215500,180.000000,top
"LED6,6",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,143.661500,-175.215500,180.000000,top
"LED6,7",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,162.711500,-175.215500,180.000000,top
"LED6,8",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,181.761500,-175.215500,180.000000,top
"LED6,9",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,200.938500,-175.215500,180.000000,top
"LED6,10",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,219.988500,-175.215500,180.000000,top
"LED6,11",WS2812B,SK6812MINI_3535_6028_3.2x2.8mm_Round,239.038500,-175.215500,180.000000,top
